Metric,Value
Accuracy,0.9824
Macro-F1,0.9810
Micro-F1,0.9824
Weighted-F1,0.9824
Dice,1.0000
IoU,1.0000

Class,Name,F1
0,Normal,1.0000
1,Center,0.9950
2,Donut,0.9950
3,EL,0.9849
4,ER,0.9756
5,LOC,0.9802
6,NF,0.9375
7,S,0.9901
8,Random,0.9884
9,C+EL,0.9901
10,C+ER,0.9950
11,C+L,0.9851
12,C+S,0.9756
13,D+EL,0.9950
14,D+ER,0.9950
15,D+L,0.9798
16,D+S,0.9950
17,EL+L,0.9800
18,EL+S,0.9900
19,ER+L,0.9746
20,ER+S,0.9851
21,L+S,0.9700
22,C+EL+L,0.9648
23,C+EL+S,0.9975
24,C+ER+L,0.9950
25,C+ER+S,0.9950
26,C+L+S,0.9645
27,D+EL+L,1.0000
28,D+EL+S,0.9600
29,D+ER+L,0.9950
30,D+ER+S,0.9608
31,D+L+S,0.9703
32,EL+L+S,0.9637
33,ER+L+S,0.9652
34,C+L+EL+S,0.9490
35,C+L+ER+S,0.9849
36,D+L+EL+S,0.9694
37,D+L+ER+S,0.9848
